"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-21","2023","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-22","2023","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-23","2023","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-24","2023","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-25","2023","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-26","2023","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-27","2023","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-28","2023","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-29","2023","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-30","2023","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-08-31","2023","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-01","2023","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-02","2023","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-03","2023","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-04","2023","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-05","2023","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-06","2023","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-07","2023","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-08","2023","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-09","2023","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-10","2023","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-11","2023","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-12","2023","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-13","2023","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-14","2023","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-15","2023","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-16","2023","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-17","2023","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-18","2023","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-19","2023","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-20","2023","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-21","2023","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-22","2023","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-23","2023","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-24","2023","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-25","2023","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-26","2023","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-27","2023","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-28","2023","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-29","2023","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-09-30","2023","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-01","2023","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-02","2023","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-03","2023","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-04","2023","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-05","2023","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-06","2023","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-07","2023","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-08","2023","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-09","2023","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-10","2023","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-11","2023","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-12","2023","10","12","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-13","2023","10","13","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-14","2023","10","14","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-15","2023","10","15","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-16","2023","10","16","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-17","2023","10","17","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-18","2023","10","18","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-19","2023","10","19","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-20","2023","10","20","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-21","2023","10","21","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-22","2023","10","22","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-23","2023","10","23","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-24","2023","10","24","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-25","2023","10","25","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-26","2023","10","26","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-27","2023","10","27","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-28","2023","10","28","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-29","2023","10","29","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-30","2023","10","30","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-10-31","2023","10","31","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-01","2023","11","01","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-02","2023","11","02","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-03","2023","11","03","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-04","2023","11","04","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-05","2023","11","05","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-06","2023","11","06","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-07","2023","11","07","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-08","2023","11","08","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-09","2023","11","09","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-10","2023","11","10","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-11","2023","11","11","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-12","2023","11","12","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-13","2023","11","13","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-14","2023","11","14","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-15","2023","11","15","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-16","2023","11","16","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-17","2023","11","17","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-18","2023","11","18","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-19","2023","11","19","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-20","2023","11","20","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-21","2023","11","21","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-22","2023","11","22","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-23","2023","11","23","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-24","2023","11","24","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-25","2023","11","25","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-26","2023","11","26","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-27","2023","11","27","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-28","2023","11","28","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-29","2023","11","29","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-11-30","2023","11","30","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-01","2023","12","01","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-02","2023","12","02","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-03","2023","12","03","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-04","2023","12","04","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-05","2023","12","05","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-06","2023","12","06","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-07","2023","12","07","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-08","2023","12","08","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-09","2023","12","09","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-10","2023","12","10","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-11","2023","12","11","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-12","2023","12","12","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-13","2023","12","13","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-14","2023","12","14","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-15","2023","12","15","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-16","2023","12","16","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-17","2023","12","17","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-18","2023","12","18","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-19","2023","12","19","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-20","2023","12","20","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-21","2023","12","21","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-22","2023","12","22","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-23","2023","12","23","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-24","2023","12","24","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-25","2023","12","25","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-26","2023","12","26","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-27","2023","12","27","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-28","2023","12","28","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-29","2023","12","29","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-30","2023","12","30","","","","","","","","","","","","","","","","","","","","","","",""
"-124.05","48.83","LAKE COWICHAN","1012055","2023-12-31","2023","12","31","","","","","","","","","","","","","","","","","","","","","","",""
